2021-12-15 00:12:424 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 00:12:569 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> xpath: //button[@id='save']]
2021-12-15 00:12:295 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: keywords]
2021-12-15 00:12:508 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: location]
2021-12-15 00:12:919 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: distance]
2021-12-15 00:12:194 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: toggle-hp-search]
2021-12-15 00:12:846 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: salarymin]
2021-12-15 00:12:958 INFO  HomePage :101 - Entering maximum salary: 50000
2021-12-15 00:12:14 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: salarytype]
2021-12-15 00:12:127 INFO  HomePage :111 - Selecting job type from dropdown: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: tempperm]
2021-12-15 00:12:252 INFO  HomePage :116 - Clicking on find job button: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> id: hp-search-btn]
2021-12-15 00:12:897 INFO  ResultPage :32 - Verifying Search result: [[ChromeDriver: chrome on WINDOWS (4d81448dcec6d13a2a827dcdd8c07f07)] -> xpath: //div[@class='search-header__title']]
2021-12-15 00:12:196 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 00:12:734 INFO  HomePage :70 - Accepting cookies: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> xpath: //button[@id='save']]
2021-12-15 00:12:398 INFO  HomePage :75 - Entering job title: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: keywords]
2021-12-15 00:12:549 INFO  HomePage :80 - Entering location: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: location]
2021-12-15 00:12:668 INFO  HomePage :86 - Selecting distance from dropdown: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: distance]
2021-12-15 00:12:92 INFO  HomePage :91 - Clicking on more search options: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: toggle-hp-search]
2021-12-15 00:12:344 INFO  HomePage :96 - Entering minimum salary: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: salarymin]
2021-12-15 00:12:446 INFO  HomePage :101 - Entering maximum salary: 60000
2021-12-15 00:12:512 INFO  HomePage :106 - Selecting salary type from dropdown: [[ChromeDriver: chrome on WINDOWS (415794b9a63b7d9489e25eab2124c358)] -> id: salarytype]
